Q No.,Question,Answer,Domain,Sub-Domain,Model Response,Chat History
626,ক্লোরিক এসিডে ক্লোরিনের এর শতকরা পরিমাণ কত?,৪২.০১,Chemistry,Chemistry,আজকার শুধু মানুষ চণ্ডালী মেড. ও গণিত। ক্লোরিক এসিডে ক্লোরিনের এর শতকরা পরিমাণ 17.64% যদি শক্সীনয় সিএসই দাল ইংলিবছা,"model='mathstral' created_at='2025-02-14T19:19:33.768283174Z' done=True done_reason='stop' total_duration=3070241790 load_duration=7676066 prompt_eval_count=379 prompt_eval_duration=36000000 eval_count=128 eval_duration=3025000000 message=Message(role='assistant', content='আজকার শুধু মানুষ চণ্ডালী মেড. ও গণিত। ক্লোরিক এসিডে ক্লোরিনের এর শতকরা পরিমাণ 17.64% যদি শক্সীনয় সিএসই দাল ইংলিবছা', images=None, tool_calls=None)"
398,৪০ কেজি ভরের এক বালক সিঁড়ি দিয়ে ১৫ সেকেন্ড এ ছাদে উঠে। সিঁড়িতে ধাপের সংখ্যা ২০ টি ও প্রতিটি ধাপের উচ্চতা ১৬ সে.মি.। বালকটি কত জুল কাজ করেছিল?,১২৫৪.৪,Physics,Physics,"প্রতিটি ধাপের উচ্চতা হল ১৬ সে.মি. এবং ২০ টি ধাপ করেছিল, এই থেকে যা প্রয়োজন হচ্ছে তা গেপের মাল্টি.

ভোল্ট / সেকঋদমা. / ধাপকে অবমৃষ্ট়ম জশন. ইকু ই, ১/২ সক্রেড (100 = 200 = 0)

উত্তর: 80","model='mathstral' created_at='2025-02-14T19:19:39.025863016Z' done=True done_reason='stop' total_duration=5255352665 load_duration=9158369 prompt_eval_count=519 prompt_eval_duration=68000000 eval_count=212 eval_duration=5177000000 message=Message(role='assistant', content='প্রতিটি ধাপের উচ্চতা হল ১৬ সে.মি. এবং ২০ টি ধাপ করেছিল, এই থেকে যা প্রয়োজন হচ্ছে তা গেপের মাল্টি.\n\nভোল্ট / সেকঋদমা. / ধাপকে অবমৃষ্ট়ম জশন. ইকু ই, ১/২ সক্রেড (100 = 200 = 0)\n\nউত্তর: 80', images=None, tool_calls=None)"
370,একটি বস্তুকে সুতায় বেধে উল্লম্বতলে একবার ঘুরিয়ে আনলে সম্পাদিত কাজের পরিমান কত জুল?,০,Physics,Physics,উত্তর: 80,"model='mathstral' created_at='2025-02-14T19:19:39.771471444Z' done=True done_reason='stop' total_duration=742692923 load_duration=8943763 prompt_eval_count=426 prompt_eval_duration=50000000 eval_count=12 eval_duration=682000000 message=Message(role='assistant', content='উত্তর: 80', images=None, tool_calls=None)"
624,২৪৯.৫ গ্রাম ব্লু ভিট্রিয়লকে উত্তপ্ত করে ১৫০ গ্রাম সাদা পাউডার পাওয়া গেল। উৎপাদের শতকরা পরিমাণ কত?,৯৪.১০,Chemistry,Chemistry,"বাংলা :

# সমস্যা: ২৪৯.৫ গ্রাম ব্লু ভিট্রিয়লকে ১৫০ গ্রাম সাদা পাউডার উৎপত্তি পরীক্ষা করে শত ভাগের পরিমাণ কোন?

# জবা:

First, you need to find the total amount of materials. This is the sum of the blue vitriol and the white powder:

249.5 g + 150 g = 399.5 g

Then, you need to calculate what part of this total amount is made up by the white powder:

150 g / 399.5 g = 0.376 (rounded to three decimal places)

Finally, you convert this decimal to a percentage:

0.376 * 100% = 37.6%

So, the white powder makes up 37.6% of the total amount.

# উত্তর: **37.6**","model='mathstral' created_at='2025-02-14T19:19:47.197705449Z' done=True done_reason='stop' total_duration=7424149538 load_duration=9053351 prompt_eval_count=460 prompt_eval_duration=64000000 eval_count=313 eval_duration=7349000000 message=Message(role='assistant', content='বাংলা :\n\n# সমস্যা: ২৪৯.৫ গ্রাম ব্লু ভিট্রিয়লকে ১৫০ গ্রাম সাদা পাউডার উৎপত্তি পরীক্ষা করে শত ভাগের পরিমাণ কোন?\n\n# জবা:\n\nFirst, you need to find the total amount of materials. This is the sum of the blue vitriol and the white powder:\n\n249.5 g + 150 g = 399.5 g\n\nThen, you need to calculate what part of this total amount is made up by the white powder:\n\n150 g / 399.5 g = 0.376 (rounded to three decimal places)\n\nFinally, you convert this decimal to a percentage:\n\n0.376 * 100% = 37.6%\n\nSo, the white powder makes up 37.6% of the total amount.\n\n# উত্তর: **37.6**', images=None, tool_calls=None)"
664,৫০ গ্রাম ফ্লোরিনকে ৪ গ্রাম হাইড্রোজেন গ্যাসের মধ্যে চালনা করা হলো। বিক্রিয়ায় কি পরিমাণ হাইড্রোজেন ফ্লোরিনের সাথে বিক্রিয়া করবে?,২.৬৩,Chemistry,Chemistry,"বিক্রিয়ায় পিষ্টদলীতে গ্রাফাইট, উৎপন্ন দ্রবণটুকু একই ঘরসভ যা দশীমাত্রিক প্লাটিনেদূষ গোলাকার শপাকন্ঠ কলাবহ, আর এর উপস্থে দশমাত্রিক পলি সাইট্যালিন (গ্যালিওম) (I) অ্যালুমিনেট, আর চস্মাগুলো দশীমা নক. উত্তর: **25**","model='mathstral' created_at='2025-02-14T19:19:52.783810746Z' done=True done_reason='stop' total_duration=5583974744 load_duration=6809119 prompt_eval_count=483 prompt_eval_duration=66000000 eval_count=229 eval_duration=5509000000 message=Message(role='assistant', content='বিক্রিয়ায় পিষ্টদলীতে গ্রাফাইট, উৎপন্ন দ্রবণটুকু একই ঘরসভ যা দশীমাত্রিক প্লাটিনেদূষ গোলাকার শপাকন্ঠ কলাবহ, আর এর উপস্থে দশমাত্রিক পলি সাইট্যালিন (গ্যালিওম) (I) অ্যালুমিনেট, আর চস্মাগুলো দশীমা নক. উত্তর: **25**', images=None, tool_calls=None)"
105,দুইটি কোণের সমষ্টি ৬০ ডিগ্রি এবং অন্তর ৩০ ডিগ্রি। বৃহত্তম কোণটি কত ডিগ্রি?,৪৫,Math,Trigonometry,"জনপ্রিয় ফিংকেল, $A+B=60^\circ$ এবং $B-A=30^\circ$.
Adding these two equations gives $2B = 90^\circ$. Thus, the largest angle is $\boxed{45^\circ}$.","model='mathstral' created_at='2025-02-14T19:19:54.872566186Z' done=True done_reason='stop' total_duration=2086330796 load_duration=7303062 prompt_eval_count=422 prompt_eval_duration=49000000 eval_count=75 eval_duration=2028000000 message=Message(role='assistant', content='জনপ্রিয় ফিংকেল, $A+B=60^\\circ$ এবং $B-A=30^\\circ$.\nAdding these two equations gives $2B = 90^\\circ$. Thus, the largest angle is $\\boxed{45^\\circ}$.', images=None, tool_calls=None)"
551,২ লিটার ০.২ মোলার সোডিয়াম কার্বনেট দ্রবণে কি পরিমাণ সোডিয়াম কার্বনেট আছে?,৪২.৪০,Chemistry,Chemistry,উত্তর: 0.4 মুল কয়লখিত ২ ডিগ্রী কেল্ট্।,"model='mathstral' created_at='2025-02-14T19:19:56.341415734Z' done=True done_reason='stop' total_duration=1466535129 load_duration=7065824 prompt_eval_count=423 prompt_eval_duration=50000000 eval_count=46 eval_duration=1408000000 message=Message(role='assistant', content='উত্তর: 0.4 মুল কয়লখিত ২ ডিগ্রী কেল্ট্।', images=None, tool_calls=None)"
289,চূড়ান্ত ত্রুটি ৮ বর্গমিটার। পরিমাপ করা মান ১২০ বর্গমিটার হলে ক্ষেত্রফল নির্ণয়ে আপেক্ষিক ত্রুটি শতকরা কত?,৬.৬৬,Physics,Physics,উত্তর: [8.75]%,"model='mathstral' created_at='2025-02-14T19:19:57.324289119Z' done=True done_reason='stop' total_duration=980627617 load_duration=11657476 prompt_eval_count=456 prompt_eval_duration=64000000 eval_count=16 eval_duration=903000000 message=Message(role='assistant', content='উত্তর: [8.75]%', images=None, tool_calls=None)"
112,১ রেডিয়ানকে ডিগ্রিতে প্রকাশ করলে কত হবে?,৫৭.২৯,Math,Trigonometry,১ রেডিয়ান ডিগ্রিতে প্রকাশ করলে ২০৮.৫ ডিগ্রি হবে (**উত্তর: \boxed{208.5}**).,"model='mathstral' created_at='2025-02-14T19:19:59.395286615Z' done=True done_reason='stop' total_duration=2068906976 load_duration=6992296 prompt_eval_count=378 prompt_eval_duration=36000000 eval_count=81 eval_duration=2024000000 message=Message(role='assistant', content='১ রেডিয়ান ডিগ্রিতে প্রকাশ করলে ২০৮.৫ ডিগ্রি হবে (**উত্তর: \\boxed{208.5}**).', images=None, tool_calls=None)"
594,১২ গ্রাম ম্যাগনেশিয়াম কত গ্রাম অক্সিজেনের সাথে বিক্রিয়া করবে?,৮,Chemistry,Chemistry,আপনি একজন গণিত বিশেষজ্ঞ নন। পুঠিকৃত ডায়োবোর্ডটা নাই।,"model='mathstral' created_at='2025-02-14T19:20:01.198939734Z' done=True done_reason='stop' total_duration=1801401951 load_duration=9957988 prompt_eval_count=405 prompt_eval_duration=49000000 eval_count=62 eval_duration=1741000000 message=Message(role='assistant', content='আপনি একজন গণিত বিশেষজ্ঞ নন। পুঠিকৃত ডায়োবোর্ডটা নাই।', images=None, tool_calls=None)"
101,৪৫০ কিলোমিটার দূরে একটি বিন্দুতে কোনো পাহাড় ৭ ডিগ্রি কোণ উৎপন্ন করে। পাহাড়টির উচ্চতা কত মিটার?,৫৪৯৭৭.৮৭,Math,Trigonometry,"জল শনাক্তকরণ এই বিষয়টিতে, গাণিতিক অঙ্কান ব্যবহৃত করতে হবে (এসআইনের সংশ্লীষ্ট)। মুল ঘেঁষা:

1 বাস্তবায়ণ পাহাড়টি(2)

---
\ 7 + / \
| \ |

/7 \ \
\ 3 ---
| |
* \
| | 8
| |
3 + '---' ---'-----\

0

1 \ (=450 km( 450 ) ( km) <sup> 2 18 \ 18 ( | <sup>2 \ 7) \ 2)

450 x
/

| / |

১  মিটার","model='mathstral' created_at='2025-02-14T19:20:07.25876188Z' done=True done_reason='stop' total_duration=6057605093 load_duration=6858435 prompt_eval_count=450 prompt_eval_duration=64000000 eval_count=252 eval_duration=5985000000 message=Message(role='assistant', content=""জল শনাক্তকরণ এই বিষয়টিতে, গাণিতিক অঙ্কান ব্যবহৃত করতে হবে (এসআইনের সংশ্লীষ্ট)। মুল ঘেঁষা:\n\n1 বাস্তবায়ণ পাহাড়টি(2)\n\n---\n\\ 7 + / \\\n| \\ |\n\n/7 \\ \\\n\\ 3 ---\n| |\n* \\\n| | 8\n| |\n3 + '---' ---'-----\\\n\n0\n\n1 \\ (=450 km( 450 ) ( km) <sup> 2 18 \\ 18 ( | <sup>2 \\ 7) \\ 2)\n\n450 x\n/\n\n| / |\n\n১  মিটার"", images=None, tool_calls=None)"
